test_time_second,voltage_volt,current_ampere,unix_time_second,step_id,step_type,ambient_temperature_celsius,step_time_second,charging_capacity_ah,discharging_capacity_ah,net_capacity_ah,step_cumulative_capacity_ah,charging_energy_wh,discharging_energy_wh,net_energy_wh,step_cumulative_energy_wh,temperature_t1_celsius
43710650.0,3.206569061112532,0.0,1749244730.76,40,PAU,25.125,812686.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43711648.0,3.206569061112532,0.0,1749244731.76,40,PAU,25.125,813684.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43712652.0,3.2064578956051264,0.0,1749244732.76,40,PAU,25.125,814688.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43713653.0,3.206569061112532,0.0,1749244733.76,40,PAU,25.0625,815689.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43714645.0,3.206569061112532,0.0,1749244734.76,40,PAU,25.0625,816681.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43715648.0,3.206569061112532,0.0,1749244735.76,40,PAU,25.0625,817684.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43716650.0,3.206569061112532,0.0,1749244736.76,40,PAU,25.0625,818686.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43717651.0,3.2066802266199375,0.0,1749244737.76,40,PAU,25.0625,819687.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43718645.0,3.2066802266199375,0.0,1749244738.76,40,PAU,25.125,820681.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43719647.0,3.2066802266199375,0.0,1749244739.76,40,PAU,25.125,821683.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43720652.0,3.2066802266199375,0.0,1749244740.76,40,PAU,25.125,822688.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
